STT,content,label
1,Từ khoảnh khắc ấy thế giới lại có thêm một sad boy,sport
2,Như này thì cần gì phải ăn sáng,emotion
3,<3,drama
4,Ông chủ giả dạng để bán hành n,action
5,Cuộc đối thoại bất ổn giữa sếp,action
6,Really feel sorry for Alpha ,action
7,It's true to a very far,action
8,Buồn của Nhâm Thị,drama
9,Cay thật đấy ,emotion
10,Toji khi nhận ra Megumi l,action
11,Sukuna thể hiện độ out trình,action
12,Jogo đã rơi lệ,action
13,Daddy Toji bán Megumi,action
14,Magma reporter,adventure
15,Nhớ lại những kỉ niệm ,Na
16,At the end of 500 ye,adventure
17,Cao thủ nhưng lại gặp top ,adventure
18,Xem cảnh này trên manga,adventure
19,Ruồi muỗi đánh nhau ,action
20,Lần đầu Frieren gặp Himmel,adventure
21,Elias is getting too used,emotion
22,Bá đạo thật sự ,funny
23,Quả kịch bản ảo ma ,funny
24,Người ta thích chơi đồ ,drama
25,Ù uôi nhìn quả thần thái thử độc siêu,drama
26,Con overthinking 1 ,funny
27,Càng ngày càng mê độ ngầu,drama
28,Mao Mao nhận trâm cài từ một chàng trai khác,drama
29,"What kind of person is she, but she is still pretty ",drama
30,Ghiền độc đến mức này ,drama
31,Bị out gần 90 cấp ,action
32,Lần hiếm hoi Mao Mao ,drama
33,Uraume tái ngộ với S,action
34,Mỗi lần có chuyện liên quan,drama
35,Mao Mao tưởng tượng ,drama
36,Cân hết các loại độc nhưng lại,drama
37,Mao Mao chạy kpi mỗi tập ,drama
38,Migi biết cô crush đó là anh trai,Na
39,"Jogo, người duy nhất được cả 2 top server",action
40,Nhìn kĩ thì thấy cũng đẹp tra,drama
41,Tới công chuyện :,Na
42,Muôn vàn biểu cảm vừa cute nhưng cũng rất chi là slay ,drama
43,Đây là con trai,Na
44,Mặc dù tính tình và cách ăn nói hơi cục xúc,drama
45,9 tuổi đã là phi tần của Tiên Vương,drama
46,Một tí ngọt ngào,emotion
47,Bức thư đầy cảm động của,action
48,Hẳn là nhiệm vụ siêu cấp bí ,Na
49,"Công ty lấy hết tiền của sếp, Gettan chịu hậu quả ",action
50,Cuộc đối thoại ông nói gà bà nói vịt giữa chúa hề và Gettan ,Na
51,FA đã lâu tự dưng giờ có người yêu,Na
52,Từ tận đáy lòng.,drama
53,Khoảnh khắc đáng buồn,action
54,Megumi triệu hồi hẳn Shikigami ,action
55,"Vì để cứu Megumi, Sukuna sẵn sàng solo ",action
56,Sukuna triển khai lĩnh vực càn quét toàn bộ ,action
57,Thương em bé Itadori,action
58,Senku hồi sinh Hyoga để đối đầu,Na
59,Trận này anh cảnh sad best gánh team ,Na
60,Chỉ đi cùng nhau vỏn vẹn 10 năm nhưng chính Himmel là người khiến Frieren thay đổi nhiều nhất,adventure
61,Khoảnh khắc mọi người cùng nhau cầu nguyện và nhạc OST nổi lên cả,adventure
62,"Frieren sống hơn 1000 năm nhưng đối với Kraft cô ấy vẫn còn rất trẻ, vậy theo bạn Kraft đã bao nhiêu tuổi rồi",adventure
63,Đường đường là đấng nam nhi duy nhất của team mà phải để Fern cõng vì hông chịu được lạnh,adventure
64,Great teacher indeed ,drama
65,"Love my wife the most, Elias sees her worried",emotion
66,This match Anya best to carry the team,funny
67,Quả outfit đi nghỉ dưỡng siêu chất của papa Loid ,funny
68,It must be not my hometown.,funny
69,Bà hoàng overthinking mang tên Anya ,funny
70,Nhâm Thị biết chắc buồn lắm ,drama
71,Từ đó Nhâm Thị trở thành một sad b,drama
72,Nhâm Thị trong mắt của Maomao chỉ là một thái zám ,drama
73,Cách chào đón của lão tú bà sau lâu ngà,drama
74,Một khoảnh khắc siêu cute của o,adventure
75,Mama của tổ đội mang tên Fern ,adventure
76,Báo thủ hệ chiến Ragna,action
77,Ỏooo thương vợ nhất Elias luôn á chời,emotion
78,I also want to be rewarded like this ,emotion
79,Migi leaves Dali after having a crush on his own brother.,Na
80,"Reading this part, I feel like the goblins ",action
81,Nhâm Thị buồn nhiều chú,funny
82,Anya sau khi thấy Yor mama bật mode,funny
83,Liệu bạn còn nhớ phân cảnh đầy ,action
84,The whole factory is delusional,emotion
85,Xin cô nương đừng tỏ ra thèm thuồn,drama
86,Động tác liếm môi,drama
87,So spicy,adventure
88,Ây dô ẩu rồi anh zai,funny
89,:((,drama
90,Công ty lục đục ,funny
91,Oops,action
92,Cứ tưởng đang xem thủy thủ mặt trăng không á chời,Na
93,Lời hứa không thể thực hiện...,action
94,That moment when everything seems to be falling ,action
95,Sát thương này cao quá anh ,funny
96,Thời khắc ấy đã đến! Tạm,action
97,Nanami nhìn thấy hình bóng Haibara,action
98,"Tạm biệt Nanami, anh ",action
99,Kẻ tàn ác thường sống thảnh thơi,action
100,Nụ hôn xuyên thấu đôi môi,action
101,Hyoga đánh bại Mozu bằng kỹ thuật ,Na
102,Lý do khiến Himmel quyết định ,adventure
103,Himmel một chàng dũ,adventure
104,Xem tới đoạn này thươn,adventure
105,Quá khứ của Stark ,adventure
106,Ngay cả trong mơ hình bóng những người ,adventure
107,Last dance,action
108,"‎The Boy and the Heron, bộ phim Ghibli đầu tiên",Na
109,Nhờ sức mạnh gia đình Yor b,funny
110,Ngay cả lúc sắp đăng xuất Yo,funny
111,Yor hướng dẫn cách trị bệnh cảm hiệu quả,funny
112,Càn quét toàn bộ địch,funny
113,Lý do khiến Yor không dùng hết sức ,funny
114,Lại bảo là không ghen đ,drama
115,Con tim yếu đuối của Nhâm Thị không thể chịu được cú sốc này,drama
116,Mặt ngài Nhâm Thị dỗi thật sự,drama
117,The real trap boy of the movie,Na
118,Chị em nhà này cute quá chời luôn á,funny
119,Để mà có thể gặp lại Frieren thì phải tới đời cháu của mình mới gặp lại được :)))),adventure
120,Nhâm Thị đứng hình cuti thật sự,drama
